cell,skin_temp,heart_rate,thermal_vote
C000013-S0301,29.625,99.0,10.0
C000014-S0301,29.625,99.0,10.0
C000015-S0301,29.625,99.0,10.0
C000042-S0301,29.625,99.0,10.0
C000382-S0301,29.625,99.0,10.0
C002513-S0304,29.625,99.0,10.0
C000050-S0303,29.875,114.0,10.0
C000051-S0303,29.875,114.0,10.0
C000066-S0303,29.875,114.0,10.0
C000067-S0303,29.875,114.0,10.0
C000182-S0303,29.625,82.0,10.0
C000183-S0303,29.625,82.0,10.0
C000198-S0303,29.625,82.0,10.0
C000199-S0303,29.625,82.0,10.0
C001211-S0304,29.75,87.0,10.0
C001212-S0304,29.75,87.0,10.0
C001251-S0304,29.75,87.0,10.0
C001252-S0304,29.75,87.0,10.0
C001433-S0304,29.375,78.0,10.0
C001434-S0304,29.375,78.0,10.0
C001456-S0304,29.375,78.0,10.0
C000060-S0303,30.375,71.0,11.0
C000061-S0303,30.375,71.0,11.0
C000076-S0303,30.375,71.0,11.0
C000077-S0303,30.375,71.0,11.0
C000043-S0303,30.875,74.0,11.0
C000044-S0303,30.875,74.0,11.0
C000059-S0303,30.875,74.0,11.0
C000060-S0303,30.875,74.0,11.0
C000060-S0303,30.75,69.0,11.0
C000061-S0303,30.75,69.0,11.0
C000076-S0303,30.75,69.0,11.0
C000077-S0303,30.75,69.0,11.0
C000060-S0303,30.75,79.0,11.0
C000061-S0303,30.75,79.0,11.0
C000076-S0303,30.75,79.0,11.0
C000077-S0303,30.75,79.0,11.0
C000281-S0303,30.75,69.0,11.0
C001729-S0304,30.75,69.0,11.0
C001751-S0304,30.75,69.0,11.0
C001752-S0304,30.75,69.0,11.0
C002721-S0304,30.75,69.0,11.0
C000281-S0303,31.125,72.0,11.0
C001729-S0304,31.125,72.0,11.0
C001751-S0304,31.125,72.0,11.0
C001752-S0304,31.125,72.0,11.0
C002721-S0304,31.125,72.0,11.0
C001521-S0304,31.0,66.0,11.0
C001522-S0304,31.0,66.0,11.0
C001544-S0304,31.0,66.0,11.0
C001545-S0304,31.0,66.0,11.0
C000208-S0303,31.125,82.0,11.0
C000224-S0303,31.125,82.0,11.0
C000280-S0303,31.125,82.0,11.0
C000281-S0303,31.125,82.0,11.0
C000282-S0303,31.125,82.0,11.0
C001752-S0304,31.125,82.0,11.0
C002720-S0304,31.125,82.0,11.0
C002721-S0304,31.125,82.0,11.0
C002722-S0304,31.125,82.0,11.0
C001567-S0304,30.875,81.0,11.0
C001590-S0304,30.875,81.0,11.0
C001591-S0304,30.875,81.0,11.0
C001613-S0304,30.875,81.0,11.0
C001517-S0304,30.375,65.0,11.0
C001518-S0304,30.375,65.0,11.0
C001540-S0304,30.375,65.0,11.0
C000184-S0301,29.125,82.0,10.0
C000185-S0301,29.125,82.0,10.0
C000205-S0301,29.125,82.0,10.0
C000206-S0301,29.125,82.0,10.0
C000263-S0301,29.375,94.0,10.0
C000264-S0301,29.375,94.0,10.0
C000284-S0301,29.375,94.0,10.0
C000285-S0301,29.375,94.0,10.0
C000145-S0301,29.25,84.0,10.0
C000146-S0301,29.25,84.0,10.0
C000166-S0301,29.25,84.0,10.0
C000167-S0301,29.25,84.0,10.0
C000059-S0303,30.125,96.0,10.0
C000060-S0303,30.125,96.0,10.0
C000075-S0303,30.125,96.0,10.0
C000076-S0303,30.125,96.0,10.0
C000064-S0303,30.125,90.0,10.0
C000065-S0303,30.125,90.0,10.0
C000080-S0303,30.125,90.0,10.0
C000081-S0303,30.125,90.0,10.0
C000056-S0303,30.0,86.0,10.0
C000057-S0303,30.0,86.0,10.0
C000058-S0303,30.0,86.0,10.0
C000073-S0303,30.0,86.0,10.0
C000005-S0303,30.75,102.0,10.0
C000006-S0303,30.75,102.0,10.0
C000252-S0303,30.75,102.0,10.0
C000253-S0303,30.75,102.0,10.0
C000254-S0303,30.75,102.0,10.0
C002748-S0304,30.75,102.0,10.0
C002749-S0304,30.75,102.0,10.0
C002750-S0304,30.75,102.0,10.0
C000052-S0303,30.625,91.0,10.0
C000067-S0303,30.625,91.0,10.0
C000068-S0303,30.625,91.0,10.0
C000069-S0303,30.625,91.0,10.0
C000084-S0303,30.625,91.0,10.0
C000003-S0303,30.75,102.0,10.0
C000004-S0303,30.75,102.0,10.0
C000005-S0303,30.75,102.0,10.0
C000020-S0303,30.75,102.0,10.0
C000049-S0303,30.0,87.0,10.0
C000050-S0303,30.0,87.0,10.0
C000065-S0303,30.0,87.0,10.0
C000066-S0303,30.0,87.0,10.0
C000064-S0303,30.5,92.0,10.0
C000065-S0303,30.5,92.0,10.0
C000080-S0303,30.5,92.0,10.0
C000081-S0303,30.5,92.0,10.0
C000055-S0303,30.0,97.0,10.0
C000056-S0303,30.0,97.0,10.0
C000071-S0303,30.0,97.0,10.0
C000072-S0303,30.0,97.0,10.0
C001681-S0304,29.875,84.0,11.0
C001682-S0304,29.875,84.0,11.0
C001704-S0304,29.875,84.0,11.0
C001705-S0304,29.875,84.0,11.0
C000064-S0303,31.5,81.0,11.0
C000267-S0303,31.5,81.0,11.0
C000268-S0303,31.5,81.0,11.0
C000269-S0303,31.5,81.0,11.0
